Days passed,VET,OCE,APY
0,166.86802512921756,6145.1855815311,0.0
1,165.81529293175262,6188.484809845588,0.11144180391496
2,167.60042268114543,6130.645921112045,0.1760246425625516
3,159.30102014878395,6457.756298255919,0.0480749306912697
4,160.81738404218677,6404.403392908719,0.1234685622771039
5,167.01843248732413,6176.607031210639,0.2124986282558463
6,162.4426789991979,6354.596127744188,0.1672115569799925
7,162.94441833517888,6347.010535920021,0.1949539602443949
8,158.94307443013355,6513.843593358704,0.14691504048279638
